Barnsley Gold,4.3%
Blonde,4.0%
Old Moor Porter,4.4%
Yorkshire pride,3.7%
Broadside,6.3%
Carbon Neutral, 
Ease Up IPA,4.6%
Explorer,5.5%
Ghost Ship,4.5%
Gunhill,4.0%
Jester,5.2%
Lighthouse,4.5%
Mosaic,4.2%
Sole Star,2.7%
Southwold bitter,4.1%
Spindrift,5.0%
SSB,4.5%
Porteresque,4.4%
Alnwick IPA,4.5%
Imperial IPA,6.5%
Original Stout,4.0%
Winter Ruby,5.1%
Bee's Organic Ale,4.5%
Kinsdown Special Ale,4.8%
Isle Of Arran Blonde,5.0%
Isle Of Arran Dark,4.3%
Isle Of Arran Guid,3.8%
Isle Of Arran Light,3.8%
Prize Fighter,4.6%
Sussex Gold,4.2%
Longleat,4.5%
Treacle Stour,5.0%
Cairngorm,5.0%
Murdoch,4.8%
Ruthven,4.0%
Sheepshaggers,4.5%
Badger Original,3.8%
Blandford Fly,5.2%
Cranbourne Poacher,5.7%
Cricket,4.4%
Dandelion,4.5%
Englands Gold,4.6%
Englands Own,4.6%
Firkin Fox,4.6%
First Call,4.0%
First Gold,4.0%
Fursty Ferret,4.4%
Golden Champion,5.0%
Golden Glory,4.5%
Harvesters,2.5%
Hopping Hare,4.5%
Leaping Legends,4.8%
Long Days,4.5%
Poachers choice,5.7%
Pickled Partridge,4.5%
Pumpkin Ale,4.6%
Stinger,4.5%
Tanglefoot,5.0%
Toad's Croak,3.8%
Wild Wader,4.2%
Alchemist,9.2%
6000 BC,4.3%
Admiral Byng,4.5%
Black Dragon Mild,4.3%
Dragonslayer,4.5%
EdwinTaylor's,4.5%
Golden Fox,4.1%
Shefford Bitter,3.8%
Shefford Old Strong,5.0%
SOD,5.0%
Stuff the Royal Wedding Ale,4.2%
Amber bitter,3.8%
Lion's Roar,3.8%
Revisionist Red ale,4.2%
Revisionist Rye Pale,4.3%
Revisionist Saison,5.0%
Revisionist Wheat beer,4.8%
Shut thi Gob,5.1%
Get thi Coit ths's pulled,4.0%
Bass,4.4%
Hammerhead Ale,5.5%
Trademark No 1,4.4%
Autumn Fall,4.2%
Combined Harvest,4.7%
Gold Medal,4.1%
Dark Lord,5.0%
Hooker,4.5%
Miss America,4.1%
Rosey Nosey,4.9%
Specially selected IPA,5.0%
Spring Breeze,5.0%
St George's Glory,4.1%
Triple XB,4.8%
Victory Ale,6.0%
Barnstormer,4.5%
Gem,4.8%
Lansdown,5.0%
Breaker,4.7%
60/-,3.0%
80/-,3.9%
Fruit Beer,4.6%
Robert Burns,4.2%
Scottish Ale,5.2%
St Andrews Ale,4.6%
Twisted Thistle,5.6%
Wheat Beer,4.8%
Rhatas,4.6%
Blonde,4.5%
Golden Eye,4.0%
Organic Ale,4.5%
Organic Lager,4.8%
Porter,4.5%
Red Kite,4.5%
Scotch Ale,4.5%
Thornbush Porter,4.8%
Wheat beer,4.5%
Yellowhammer Bitter,4.0%
All Creatures Bright and Beautiful,4.0%
Amber ale,4.5%
Black Sheep Ale,4.4%
Blitzen,4.0%
Emmerdale,5.0%
Golden Sheep,4.7%
IPA,4.7%
